email_text,scheduled_datetime,date_text,date_from,date_to,time_from,time_to,has_complete_datetime,location,meeting_url,maps_url,coordinates,location_type,event_type,event_confidence,urgency_level,urgency_score,urgency_indicators,recurrence_pattern,recurrence_text,action_required,action_deadline,action_confidence,action_phrases,contains_links,contains_attachments,financial_amount
"Subject: Anniversary Special: Buy one get one free

Body: As our loyal customer, get exclusive $60 off $75+: example.com/6058 Offer code: WELCOME20.",,,,,,,False,,,,,,,,,,[],,,,,,[],False,False,
"Subject: Digital Ritual Experience Creation

Body: Cross-cultural ceremony design. Join: virtualrituals.space Anthropological framework.",,,,,,,False,,https://virtualrituals.space,,,virtual,other,0.5,low,0.0,[],none,,click,,0.5,['Join'],True,False,
"Subject: Your post was moved to ""Programming Help""

Body: Trending: ""cooking"" (258 comments). View: support.site/ticket/456.",,,,,,,False,,,,,none,notification,0.5,low,0.0,[],none,,none,,0.0,[],True,False,
"Subject: Memories from this week in 2021

Body: 45 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe.",,this week in 2021,,,,,False,Downtown Cafe,,social.com/places/cafe,,physical,other,0.5,low,0.0,[],none,,none,,0.0,[],True,False,
"Subject: Two-step verification code: 426706

Body: For account verification, enter: 924578. Do not share this number.",,,,,,,False,,,,,none,verification,0.9,low,0.1,[],none,,verify,,0.8,"['enter', 'verify']",False,False,
"Subject: Secure access number: 892974

Body: Enter 426706 to verify password reset. Session will auto-cancel after 2 invalid attempts.",,,,,,,False,,,,,none,verification,0.8,medium,0.5,[],none,,verify,,0.9,['verify password reset'],False,False,
"Subject: Moderation notice: Community Guidelines update

Body: Thread ""Discussion 719"" moved from General to Support. Continue: support.site/ticket/456.",,,,,,,False,,support.site/ticket/456,,,virtual,notification,0.8,low,0.1,[],none,,click,,0.7,['Continue'],True,False,
"Subject: News: Mike Chen started new position

Body: Group update: ""Hiking Buddies"" posted article. Trending in ""Startup Founders"": best summer destination.",,,,,,,False,,,,,none,notification,0.5,low,0.0,[],none,,none,,0.0,[],False,False,
"Subject: Your post was moved to ""Technical Support""

Body: Thread: ""Discussion 593"" started by PixelArtist. Settings: support.site/ticket/456.",,,,,,,False,,,,,none,notification,0.5,low,0.0,[],none,,none,,0.0,[],True,False,
"Subject: Nearby: Meetup today 8PM

Body: View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.",2023-10-10 20:00:00,today 8PM,2023-10-10,2023-10-10,20:00:00,20:00:00,True,,,,,none,meeting,0.9,medium,0.5,['today'],none,,click,,0.8,['Accept/reject'],True,False,
"Subject: User Spotlight: Member Spotlight

Body: {event} starts {time}. Prepare: support.site/ticket/456.",,,,,,,False,,,,,none,other,0.5,low,0.0,[],none,,click,,0.5,['Prepare'],True,False,
"Subject: Apple verification: 713300

Body: Code: 880677 for login confirmation. Do not share. Requested from IP 198.51.100.1 at 14:30 GMT.",,14:30 GMT,,,14:30:00,14:30:00,False,,,,,none,verification,0.9,low,0.1,[],none,,verify,,0.8,['login confirmation'],False,False,
