id,subject,body,text,category,category_id
flight_0,Miles Update: Cathay Pacific Flight CA538 Confirmation,It's almost time to fly! Cathay Pacific CA538 departs New York at 17:57. Arrival: London at 09:11.,Miles Update: Cathay Pacific Flight CA538 Confirmation It's almost time to fly! Cathay Pacific CA538 departs New York at 17:57. Arrival: London at 09:11.,flight_booking,7
flight_1,Luxury Travel Awaits! Qatar Airways QA845 Booking Confirmed,Hurry! Boarding for Qatar Airways Flight QA845 begins soon. Don't miss your departure.,Luxury Travel Awaits! Qatar Airways QA845 Booking Confirmed Hurry! Boarding for Qatar Airways Flight QA845 begins soon. Don't miss your departure.,flight_booking,7
flight_2,Earn Miles on Singapore Airlines Flight SI390,"Earn reward points on your upcoming flight SI390 with Singapore Airlines. Book meals, lounges, and more at https://www.singaporeairlines.com/book/SI390.","Earn Miles on Singapore Airlines Flight SI390 Earn reward points on your upcoming flight SI390 with Singapore Airlines. Book meals, lounges, and more at https://www.singaporeairlines.com/book/SI390.",flight_booking,7
flight_3,🛫 Your Flight DE889 with Delta is Booked!,Adventure awaits! Delta Flight DE889 from Beijing to Seoul. Pack your bags and enjoy the journey.,🛫 Your Flight DE889 with Delta is Booked! Adventure awaits! Delta Flight DE889 from Beijing to Seoul. Pack your bags and enjoy the journey.,flight_booking,7
flight_4,Boarding Pass Inside: Singapore Airlines Flight SI861,"Reminder: Check-in is open for your Singapore Airlines Flight SI861. Departure from New York at 20:45, arriving London at 17:30.","Boarding Pass Inside: Singapore Airlines Flight SI861 Reminder: Check-in is open for your Singapore Airlines Flight SI861. Departure from New York at 20:45, arriving London at 17:30.",flight_booking,7
flight_5,🎟️ E-Ticket for IndiGo IN405,Family trip confirmed! IndiGo Flight IN405 from New York to Beijing. Seats booked: Business.,🎟️ E-Ticket for IndiGo IN405 Family trip confirmed! IndiGo Flight IN405 from New York to Beijing. Seats booked: Business.,flight_booking,7
flight_6,Domestic Flight Booking Confirmed: Qatar Airways QA215,Travel across continents! Qatar Airways Flight QA215 from New York to Singapore departs 2025-11-04. Check-in: https://www.qatarairways.com/book/QA215,Domestic Flight Booking Confirmed: Qatar Airways QA215 Travel across continents! Qatar Airways Flight QA215 from New York to Singapore departs 2025-11-04. Check-in: https://www.qatarairways.com/book/QA215,flight_booking,7
flight_7,Fly with Qatar Airways – Upgrade to Business Class!,✈️ Ready for takeoff? Flight QA569 with Qatar Airways departs London at 01:24. Arrival: Chennai at 15:09.,Fly with Qatar Airways – Upgrade to Business Class! ✈️ Ready for takeoff? Flight QA569 with Qatar Airways departs London at 01:24. Arrival: Chennai at 15:09.,flight_booking,7
flight_8,Your VIP Seat on Lufthansa Flight LU226 is Ready,"Your next adventure starts here! Lufthansa Flight LU226, Chennai → Singapore, 2025-12-24. Seat Class: Business.","Your VIP Seat on Lufthansa Flight LU226 is Ready Your next adventure starts here! Lufthansa Flight LU226, Chennai → Singapore, 2025-12-24. Seat Class: Business.",flight_booking,7
flight_9,Your Trip is Coming Up! Singapore Airlines Flight SI336,Hello! Your flight SI336 with Singapore Airlines is confirmed. Depart from Tokyo at 12:35 on 2025-12-22 and arrive at Beijing at 08:48. Seat Class: First. Price: $1468.,Your Trip is Coming Up! Singapore Airlines Flight SI336 Hello! Your flight SI336 with Singapore Airlines is confirmed. Depart from Tokyo at 12:35 on 2025-12-22 and arrive at Beijing at 08:48. Seat Class: First. Price: $1468.,flight_booking,7
flight_10,Your Next Adventure: Delta New York → London,"Business travel itinerary: Delta Flight DE143. Departure: New York at 00:10, arrival: London at 19:34.","Your Next Adventure: Delta New York → London Business travel itinerary: Delta Flight DE143. Departure: New York at 00:10, arrival: London at 19:34.",flight_booking,7
flight_11,Your Journey with IndiGo is About to Begin!,Your journey is ready! Flight IN818 with IndiGo leaves Seoul at 21:45 on 2025-12-09 and lands in Kuala Lumpur at 00:07. Seat Class: First.,Your Journey with IndiGo is About to Begin! Your journey is ready! Flight IN818 with IndiGo leaves Seoul at 21:45 on 2025-12-09 and lands in Kuala Lumpur at 00:07. Seat Class: First.,flight_booking,7
flight_12,Last-Minute Flight Alert: Cathay Pacific CA396,Boarding soon! Cathay Pacific CA396 departs Seoul at 04:14 on 2025-12-09. Ensure you have your ID and ticket ready.,Last-Minute Flight Alert: Cathay Pacific CA396 Boarding soon! Cathay Pacific CA396 departs Seoul at 04:14 on 2025-12-09. Ensure you have your ID and ticket ready.,flight_booking,7
flight_13,Miles Update: Singapore Airlines Flight SI124 Confirmation,Explore London on 2025-12-24! Flight SI124 with Singapore Airlines departs Dubai at 07:22.,Miles Update: Singapore Airlines Flight SI124 Confirmation Explore London on 2025-12-24! Flight SI124 with Singapore Airlines departs Dubai at 07:22.,flight_booking,7
flight_14,Miles Update: Lufthansa Flight LU659 Confirmation,Boarding soon! Lufthansa LU659 departs Beijing at 10:03 on 2025-11-28. Ensure you have your ID and ticket ready.,Miles Update: Lufthansa Flight LU659 Confirmation Boarding soon! Lufthansa LU659 departs Beijing at 10:03 on 2025-11-28. Ensure you have your ID and ticket ready.,flight_booking,7
flight_15,Don't Forget! Singapore Airlines Flight SI897 on 2025-12-12,Hello! Your flight SI897 with Singapore Airlines is confirmed. Depart from Mumbai at 22:38 on 2025-12-12 and arrive at Chennai at 21:17. Seat Class: First. Price: $961.,Don't Forget! Singapore Airlines Flight SI897 on 2025-12-12 Hello! Your flight SI897 with Singapore Airlines is confirmed. Depart from Mumbai at 22:38 on 2025-12-12 and arrive at Chennai at 21:17. Seat Class: First. Price: $961.,flight_booking,7
flight_16,Last-Minute Flight Alert: Cathay Pacific CA860,Travel across continents! Cathay Pacific Flight CA860 from Seoul to London departs 2025-11-08. Check-in: https://www.cathaypacific.com/book/CA860,Last-Minute Flight Alert: Cathay Pacific CA860 Travel across continents! Cathay Pacific Flight CA860 from Seoul to London departs 2025-11-08. Check-in: https://www.cathaypacific.com/book/CA860,flight_booking,7
flight_17,Flight EM227 with Emirates – Booking Complete,"Upgrade your seat for extra comfort on Emirates EM227. Departure Beijing, arrival Tokyo.","Flight EM227 with Emirates – Booking Complete Upgrade your seat for extra comfort on Emirates EM227. Departure Beijing, arrival Tokyo.",flight_booking,7
flight_18,Ready to Fly? Lufthansa LU985 from Tokyo to Beijing,Booking complete! Lufthansa Flight LU985 from Tokyo to Beijing. Departure: 2025-12-18 at 01:37. Arrival: 20:06. Reserve extras here: https://www.lufthansa.com/book/LU985,Ready to Fly? Lufthansa LU985 from Tokyo to Beijing Booking complete! Lufthansa Flight LU985 from Tokyo to Beijing. Departure: 2025-12-18 at 01:37. Arrival: 20:06. Reserve extras here: https://www.lufthansa.com/book/LU985,flight_booking,7
flight_19,Group Booking Confirmed: IndiGo IN662,Your journey is ready! Flight IN662 with IndiGo leaves Tokyo at 14:32 on 2025-11-29 and lands in Dubai at 10:28. Seat Class: Business.,Group Booking Confirmed: IndiGo IN662 Your journey is ready! Flight IN662 with IndiGo leaves Tokyo at 14:32 on 2025-11-29 and lands in Dubai at 10:28. Seat Class: Business.,flight_booking,7
flight_20,Travel Abroad with Singapore Airlines – Beijing to Chennai,Your journey is ready! Flight SI260 with Singapore Airlines leaves Beijing at 03:23 on 2025-12-21 and lands in Chennai at 23:53. Seat Class: Economy.,Travel Abroad with Singapore Airlines – Beijing to Chennai Your journey is ready! Flight SI260 with Singapore Airlines leaves Beijing at 03:23 on 2025-12-21 and lands in Chennai at 23:53. Seat Class: Economy.,flight_booking,7
flight_21,Earn Miles on Emirates Flight EM600,"Upgrade your seat for extra comfort on Emirates EM600. Departure Singapore, arrival Beijing.","Earn Miles on Emirates Flight EM600 Upgrade your seat for extra comfort on Emirates EM600. Departure Singapore, arrival Beijing.",flight_booking,7
flight_22,🕒 Departure Alert: Emirates Flight EM978 on 2025-11-12,"Earn reward points on your upcoming flight EM978 with Emirates. Book meals, lounges, and more at https://www.emirates.com/book/EM978.","🕒 Departure Alert: Emirates Flight EM978 on 2025-11-12 Earn reward points on your upcoming flight EM978 with Emirates. Book meals, lounges, and more at https://www.emirates.com/book/EM978.",flight_booking,7
flight_23,Qatar Airways Flight QA916 – Your Ticket Details,Booking complete! Qatar Airways Flight QA916 from New York to Mumbai. Departure: 2025-12-01 at 00:24. Arrival: 14:46. Reserve extras here: https://www.qatarairways.com/book/QA916,Qatar Airways Flight QA916 – Your Ticket Details Booking complete! Qatar Airways Flight QA916 from New York to Mumbai. Departure: 2025-12-01 at 00:24. Arrival: 14:46. Reserve extras here: https://www.qatarairways.com/book/QA916,flight_booking,7
flight_24,Fly with Lufthansa – Upgrade to Business Class!,Last chance to check-in for your flight LU677 with Lufthansa. Departure: 2025-11-23 20:48.,Fly with Lufthansa – Upgrade to Business Class! Last chance to check-in for your flight LU677 with Lufthansa. Departure: 2025-11-23 20:48.,flight_booking,7
flight_25,Your Trip is Coming Up! Cathay Pacific Flight CA459,Special offer! Add baggage or meals to your Cathay Pacific flight CA459 at https://www.cathaypacific.com/book/CA459.,Your Trip is Coming Up! Cathay Pacific Flight CA459 Special offer! Add baggage or meals to your Cathay Pacific flight CA459 at https://www.cathaypacific.com/book/CA459.,flight_booking,7
