subject,body,text,category,category_id,id
🤘 See Atif Aslam in Leicester on 07-09-2024 Live & Loud!,"Live in Leicester: Atif Aslam at Mattioli Arena, 07-09-2024.","🤘 See Atif Aslam in Leicester on 07-09-2024 Live & Loud! Live in Leicester: Atif Aslam at Mattioli Arena, 07-09-2024.",concert_promotion,6,music_0
🎸 Experience BigBang at Scene Grefsenkollen 🎟️ Get Tickets Now!,From classics to new hits: BigBang performs [] live at Scene Grefsenkollen (Oslo) on 21-06-2025.,🎸 Experience BigBang at Scene Grefsenkollen 🎟️ Get Tickets Now! From classics to new hits: BigBang performs [] live at Scene Grefsenkollen (Oslo) on 21-06-2025.,concert_promotion,6,music_1
💥 Your Chance to See MONSTA X on 14-09-2025 Secure Your Spot!,"Get ready, Seoul! MONSTA X brings their iconic sound to SBS Inkigayo on 14-09-2025. Be part of  fans cheering live.","💥 Your Chance to See MONSTA X on 14-09-2025 Secure Your Spot! Get ready, Seoul! MONSTA X brings their iconic sound to SBS Inkigayo on 14-09-2025. Be part of  fans cheering live.",concert_promotion,6,music_2
"🎟️ Your Chance to See Miley Cyrus performing hits like ['More To Lose', 'Easy Lover', 'Flowers'] Limited Seats Available","Love live music? Miley Cyrus's  hits New York at Carlyle Hotel on 02-06-2025. Don't miss ['More To Lose', 'Easy Lover', 'Flowers'] performed live!","🎟️ Your Chance to See Miley Cyrus performing hits like ['More To Lose', 'Easy Lover', 'Flowers'] Limited Seats Available Love live music? Miley Cyrus's  hits New York at Carlyle Hotel on 02-06-2025. Don't miss ['More To Lose', 'Easy Lover', 'Flowers'] performed live!",concert_promotion,6,music_3
🙌 Your Chance to See Sonu Nigam performing hits like [] 🎟️ Get Tickets Now!,"The icon returns! Sonu Nigam live at Riverside Theatre, Perth, 22-06-2024.","🙌 Your Chance to See Sonu Nigam performing hits like [] 🎟️ Get Tickets Now! The icon returns! Sonu Nigam live at Riverside Theatre, Perth, 22-06-2024.",concert_promotion,6,music_4
"🎤 See Camila Cabello in Melbourne for the the Yours, C Tour tour Don't Miss Out!","Love live music? Camila Cabello's the Yours, C Tour hits Melbourne at Margaret Court Arena on 27-08-2025. Don't miss ['Shameless', 'Liar', 'baby pink', 'HE KNOWS', 'DADE COUNTY DREAMING', 'Bad Kind of Butterflies', 'Never Be the Same', 'Chanel No.5', 'Quiet', 'Used to This', 'My Oh My', 'DREAM-GIRLS', 'Señorita', 'Bam Bam', 'B.O.A.T.', 'Torn', 'Easy', 'Bad Things', 'JUNE GLOOM', 'Move (Remix)', 'Havana', ""Don't Go Yet"", 'I LUV IT'] performed live!","🎤 See Camila Cabello in Melbourne for the the Yours, C Tour tour Don't Miss Out! Love live music? Camila Cabello's the Yours, C Tour hits Melbourne at Margaret Court Arena on 27-08-2025. Don't miss ['Shameless', 'Liar', 'baby pink', 'HE KNOWS', 'DADE COUNTY DREAMING', 'Bad Kind of Butterflies', 'Never Be the Same', 'Chanel No.5', 'Quiet', 'Used to This', 'My Oh My', 'DREAM-GIRLS', 'Señorita', 'Bam Bam', 'B.O.A.T.', 'Torn', 'Easy', 'Bad Things', 'JUNE GLOOM', 'Move (Remix)', 'Havana', ""Don't Go Yet"", 'I LUV IT'] performed live!",concert_promotion,6,music_5
🤘 See Doja Cat in Los Angeles on 26-10-2025 Live & Loud!,Doja Cat brings the full stadium show to Paramount Studios on 26-10-2025.,🤘 See Doja Cat in Los Angeles on 26-10-2025 Live & Loud! Doja Cat brings the full stadium show to Paramount Studios on 26-10-2025.,concert_promotion,6,music_6
🎸 Your Chance to See Jacky Cheung for the  tour Be There!,"Tag your concert buddy! Jacky Cheung at Oriental Sports Center, Shanghai, 01-03-2024.","🎸 Your Chance to See Jacky Cheung for the  tour Be There! Tag your concert buddy! Jacky Cheung at Oriental Sports Center, Shanghai, 01-03-2024.",concert_promotion,6,music_7
🙌 Your Chance to See AGNEZ MO performing hits like [] 🎟️ Get Tickets Now!,"The hottest ticket in town: AGNEZ MO at Miami Beach Convention Center, Miami Beach, 09-04-2022.","🙌 Your Chance to See AGNEZ MO performing hits like [] 🎟️ Get Tickets Now! The hottest ticket in town: AGNEZ MO at Miami Beach Convention Center, Miami Beach, 09-04-2022.",concert_promotion,6,music_8
"🔥 Your Chance to See Bruno Mars performing hits like ['Treasure', 'Die With a Smile', 'Locked Out of Heaven', 'Uptown Funk', 'Billionaire', ""That's What I Like"", 'Just the Way You Are', 'Please Me', 'lets get it on'] Secure Your Spot!",Experience the  tour with Bruno Mars live at Private Venue on 20-09-2025.,"🔥 Your Chance to See Bruno Mars performing hits like ['Treasure', 'Die With a Smile', 'Locked Out of Heaven', 'Uptown Funk', 'Billionaire', ""That's What I Like"", 'Just the Way You Are', 'Please Me', 'lets get it on'] Secure Your Spot! Experience the  tour with Bruno Mars live at Private Venue on 20-09-2025.",concert_promotion,6,music_9
