Email #,Event Type,Urgency Level,Action Required,Contains Links,Subject,Body
1,payment,medium,pay,True,Anniversary Special: Buy one get one free,"As our loyal customer, get exclusive $60 off $75+: example.com/6058 Offer code: WELCOME20."
2,meeting,low,none,True,Digital Ritual Experience Creation,Cross-cultural ceremony design. Join: virtualrituals.space Anthropological framework.
3,notification,low,click,True,"Your post was moved to ""Programming Help""","Trending: ""cooking"" (258 comments). View: support.site/ticket/456."
4,notification,low,click,True,Memories from this week in 2021,"45 friends checked in at ""Downtown Cafe"". See photos and menu: social.com/places/cafe."
5,verification,medium,verify,False,Two-step verification code: 426706,"For account verification, enter: 924578. Do not share this number."
6,verification,medium,verify,False,Secure access number: 892974,Enter 426706 to verify password reset. Session will auto-cancel after 2 invalid attempts.
7,notification,low,click,True,Moderation notice: Community Guidelines update,"Thread ""Discussion 719"" moved from General to Support. Continue: support.site/ticket/456."
8,notification,low,none,False,News: Mike Chen started new position,"Group update: ""Hiking Buddies"" posted article. Trending in ""Startup Founders"": best summer destination."
9,notification,low,none,True,"Your post was moved to ""Technical Support""","Thread: ""Discussion 593"" started by PixelArtist. Settings: support.site/ticket/456."
10,meeting,high,click,True,Nearby: Meetup today 8PM,View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.
11,notification,low,click,True,User Spotlight: Member Spotlight,{event} starts {time}. Prepare: support.site/ticket/456.
12,verification,medium,verify,False,Apple verification: 713300,Code: 880677 for login confirmation. Do not share. Requested from IP 198.51.100.1 at 14:30 GMT.
13,notification,high,click,True,Free dessert With any order,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7932 Use code: VIP25.
14,reminder,low,none,True,Event reminder: Meetup,User: TechGuru99 post. support.site/ticket/456.
15,notification,low,none,True,Forum Contest: Photo Contest,"Thread ""Discussion 551"" moved from General to Support. Continue: support.site/ticket/456."
16,final,high,click,True,Last chance: Warehouse clearance,Final hours of biggest sale. Up to 80% off: example.com/3917 Ends {time}.
17,notification,low,click,True,"New reply in ""Home Server Setup""","You earned ""Achievement 3"" badge. View profile: wiki.site/page/789."
18,maintenance,low,click,True,Policy update: Terms of Service changes,"Restaurant Main pool closed Aug 20-22 for maintenance, Sep 1, 2-4AM PST. {assignment} confirmed. Manage booking: company.com/updates."
19,verification,medium,verify,False,Microsoft withdrawal auth: 383921,"Token: 202896 expires at 09:45 EST. For support, contact security@company.com."
20,verification,medium,verify,False,GitHub verification: 995304,PIN 143774 required for password reset on Apple.
21,verification,medium,verify,False,GitHub verification: 528905,Enter 892974 to verify password reset. Session will auto-cancel after 3 invalid attempts.
22,verification,medium,verify,False,Authentication token: 411101,"Token: 321516 expires at 16:20 PST. For support, contact no-reply@auth.com."
23,appointment,low,none,True,"Your appointment confirmed: Dec 20, 3-5AM GMT",Thank you! $156.50 payment applied to account. Receipt: company.com/updates.
24,notification,low,none,True,"New reply in ""Home Server Setup""","Thread ""Discussion 232"" moved from General to Support. Continue: forum.com/thread/123."
25,notification,medium,click,True,Member Exclusive: Extra 20% off clearance,"Hello valued member, enjoy Free shipping all week. Shop now: example.com/3034 Expires {date}."
26,notification,high,click,True,Nearby: Product Launch today 9AM,story from Paris received 234 likes and 67 comments. See insights: social.com/insights/post123.
27,notification,low,none,True,"Your post was moved to ""General Discussion""","Thread ""Discussion 958"" moved from General to Support. Continue: forum.com/thread/123."
28,meeting,low,click,True,AMA session: Science Professor,{event} starts {time}. Prepare: forum.com/thread/123.
29,notification,low,review,True,Payment received: Invoice INV-7891,We've updated our Privacy Policy. Review changes: company.com/updates Effective Dec 20.
30,notification,low,none,True,"New thread in ""Career Advice"" matches alert",report per report #1093. Details: wiki.site/page/789.
31,verification,medium,verify,False,Verification PIN: 411101,Your access code is 421450 for password reset. Valid once only.
32,notification,low,none,True,Auto-payment failed for subscription,Your September statement is available. View/download: company.com/updates No action needed if payment scheduled.
33,verification,high,verify,False,Login code: 776979 (do not reply),Enter 647375 to verify password reset. Session will auto-cancel after 2 invalid attempts.
34,notification,medium,click,True,Your anniversary discount is here!,"Hello valued member, enjoy Buy one get one free. Shop now: example.com/6995 Expires {date}."
35,verification,high,verify,True,Password Reset PIN: 552637,Your account recovery PIN is 552637. Submit within 5 minutes at resetportal.com. Browser details: Firefox on Windows 11 from IP 108.45.xx.xx. Suspicious activity monitoring activated.
36,notification,medium,none,True,Warning: Violation in Python Coding Challenge,"Thread: ""Discussion 574"" started by PixelArtist. Settings: forum.com/thread/123."
37,notification,high,click,True,Last chance: End of season sale,Celebrate with 30% off entire purchase. Valid 48: example.com/6939 Code: SAVE50.
38,notification,medium,review,True,Membership upgrade: delivered achieved!,We've updated our User Agreement. Review changes: company.com/updates Effective Oct 5.
39,notification,low,click,True,Mod application open for Technical Support,User: PixelArtist posted helpful solution. View: wiki.site/page/789.
40,other,low,click,True,Event invitation: Workshop Oct 10,View profile: platform.com/users/sarah Accept/reject: social.com/friends/pending.
41,notification,low,none,True,Wiki Edit Approved: techsupport,comment per report #7912. Details: forum.com/thread/123.
42,notification,low,none,True,[Moderator] Your comment was processed,"Thread ""Discussion 858"" moved from General to Support. Continue: wiki.site/page/789."
43,payment,low,pay,True,Gourmet Food Festival Pass,VIP tasting experience $99 (regular $150): gourmetevents.com/festival-pass. Unlimited samples from 50+ artisans. Complimentary wine pairing guide.
44,appointment,low,none,True,"Appointment reminder: Eye Exam, Aug 15 3-5AM GMT",New features: Security updates. Install now: service.com/status Changelog included.
45,notification,low,click,True,New event: Product Launch,article from Sydney received 875 likes and 12 comments. See insights: social.com/insights/post123.
46,notification,low,reply,True,John Smith liked your article,"Group ""Photography Group"" invited you. RSVP: platform.com/events/workshop."
47,notification,low,none,False,"8 new messages in ""Tech Enthusiasts"" chat","Group update: ""Hiking Buddies"" posted story. Trending in ""Remote Workers"": favorite tech tools."
48,notification,high,none,True,Warning: Violation in Home Server Setup,User: DataWiz report. support.site/ticket/456.
49,meeting,low,reply,True,5th anniversary on LinkedIn!,"Group ""Photography Group"" invited you. RSVP: social.com/events/meetup."
50,verification,medium,verify,False,Login alert: Verification step needed,"For account verification, enter: 930558. Do not share this number."
51,notification,low,click,True,Achievement unlocked: Community Star!,{event} starts {time}. Prepare: wiki.site/page/789.
52,notification,medium,click,True,Data usage alert: 80% of monthly quota,"New features: Dark mode, performance boost. Install now: service.com/status Changelog included."
53,notification,low,none,True,New featured guide: cooking,"Thread: ""Discussion 777"" started by PixelArtist. Settings: support.site/ticket/456."
54,payment,medium,pay,True,Clearance madness: Up to 80% off books,"As our loyal customer, get exclusive $40 off $150+: example.com/7776 Offer code: BIRTHDAY."
55,notification,medium,click,True,VIP Preview: Summer sale,Discover {items}. Shop new styles: example.com/9842 Code VIP25 for extra 80% off.
56,notification,high,click,True,Early access: Clearance event start now,Your favorite items are back. Don't wait: example.com/8822 Use code VIP25 for 50% off.
57,notification,low,none,True,Forum digest: photography discussions,Database upgrade completed successfully. New features: new search and notifications. FAQ: wiki.site/page/789.
58,notification,medium,click,True,Your order #3345 has delivered,"Hotel Booking New hours effective immediately, Oct 5, midnight-2AM. {assignment} confirmed. Manage booking: company.com/updates."
59,payment,medium,pay,True,Anniversary Special: Buy one get one free,"As our loyal customer, get exclusive $30 off $50+: example.com/8101 Offer code: SAVE50."
60,other,low,none,True,Molecular Dynamics Visualization,Protein folding simulation renderer. GitHub: mdb-visualization/issues VR compatibility.
61,verification,low,confirm,False,Access code: 229149,"Enter 321516 to confirm new device registration. If you didn't request this, ignore."
62,notification,low,click,True,New event: Product Launch,"""College reunion photos"" - view album: social.com/albums/vacation2018."
63,verification,low,none,True,Delivery rescheduled for order #9876,2FA activated per your request. Learn: banking.com/statements.
64,meeting,low,click,True,New event: Workshop,"Your group ""Photography Group"" is live streaming. Join: social.com/live/conference."
65,notification,low,click,True,Double rewards points this weekend,Discover {items}. Shop new styles: example.com/6941 Code VIP25 for extra 80% off.
66,notification,low,click,True,[Moderator] Your report was processed,User: CodeMaster posted helpful solution. View: support.site/ticket/456.
67,verification,low,verify,False,Verification PIN: 417380,"For password reset, enter: 411101. Do not share this number."
68,notification,medium,review,True,User Spotlight: Member Spotlight,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: wiki.site/page/789.
69,notification,low,none,True,Security upgrade: password encryption enabled,2FA activated per your request. Learn: service.com/status.
70,notification,low,click,True,New follower: David Kim,photo from Paris received 875 likes and 44 comments. See insights: platform.com/analytics/content.
71,notification,low,click,True,Popular near you: New cafe opening,"12 friends checked in at ""Central Perk"". See photos and menu: social.com/places/central-perk."
72,verification,medium,confirm,False,LinkedIn Verification: G3J8-HS29,Confirm email change request: enter G3J8HS29 (no dash) at prompt. Case-sensitive.
73,notification,high,click,True,Early access: Summer sale start now,Your favorite items are back. Don't wait: example.com/1879 Use code VIP25 for 40% off.
74,notification,low,click,True,1st anniversary on Twitter!,article from Paris received 234 likes and 67 comments. See insights: platform.com/analytics/content.
75,notification,low,click,True,Live now: Workshop keynote,"23 friends checked in at ""Central Perk"". See photos and menu: social.com/places/cafe."
76,notification,low,click,True,Forum Contest: Photo Contest,"Trending: ""webdev"" (89 comments). View: support.site/ticket/456."
77,notification,medium,none,True,Safety recall: Model CD-180,"Restaurant New hours effective immediately, Oct 5, midnight-2AM. {assignment} confirmed. Manage booking: service.com/status."
78,maintenance,low,none,True,Forum maintenance: complete,Database upgrade completed successfully. New features: new search and notifications. FAQ: support.site/ticket/456.
79,notification,low,click,True,Popular near you: Webinar,"Mike: ""Check this out"" David: ""Weather looks great!"" Reply: platform.com/messages/group."
80,notification,low,click,True,1st anniversary on LinkedIn!,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach."
81,verification,high,complete,False,Authentication token: 421450,Use this code: 286745 to complete sign-in. Expires in 15 minutes.
82,payment,high,click,True,Special offer just for you,Deal ends {time}! {items} at lowest prices. Shop now: example.com/1038 Use code: VIP25.
83,notification,low,none,False,Service outage resolved,Yesterday's network connectivity problem fixed. All systems operational. Apologies for inconvenience.
84,reminder,medium,click,True,Event Reminder: Book Club Tonight 8PM,"Discussing ""Project Hail Mary"". Join Zoom: socialevents.com/virtual/book-club-238"
85,notification,low,click,True,Live now: Workshop keynote,View profile: social.com/profile/john123 Accept/reject: social.com/friends/pending.
86,meeting,high,click,True,Nearby: Meetup today 6PM,"""Great insight!"" View: social.com/notifications Reply or disable: platform.com/notifications."
87,meeting,low,reply,True,News from groups you follow,"Group ""Book Club"" invited you. RSVP: platform.com/events/workshop."
88,verification,medium,verify,False,Twitter verification: 555748,"Token: 748435 expires at 16:20 PST. For support, contact no-reply@auth.com."
89,other,low,none,True,Synesthesia Perception Mapping Project,Share cross-sensory experiences. Research: perceptual-studies.org Neurological diversity.
90,notification,low,click,True,Immunization Record Updated,Flu vaccine and COVID-19 booster added to profile. Access digital vaccine passport: healthportal.com/vaccine-record. QR code available for travel verification.
91,meeting,low,click,True,News: David Kim started new position,"Your group ""Photography Group"" is live streaming. Join: social.com/live/conference."
92,verification,low,verify,False,Security Token: 112233,Use 112233 for account recovery. Single-use only.
93,other,low,none,True,Event invitation: Workshop Aug 25,article from Paris received 678 likes and 12 comments. See insights: platform.com/analytics/content.
94,notification,medium,none,True,Platform Evolution: Major Feature Enhancements,"Based on your feedback, we've launched revolutionary updates: 1) Collaborative whiteboard spaces, 2) 4K HDR video streaming, 3) Smart content curation AI. Explore new features: platformupdates.com/october-release?version=9.0. Temporary legacy interface available until December 1. Notable improvements: 60% faster loading, enhanced accessibility compliance, and cross-platform synchronization. Premium members receive early access to experimental features - opt-in through settings. Report bugs via in-app feedback system with priority routing."
95,notification,low,none,False,Your order #9876 has shipped,Yesterday's server maintenance fixed. All systems operational. Apologies for inconvenience.
96,other,low,none,True,Poll: Vote for weekend plans,"""Beach vacation with family"" - view album: platform.com/memories/beach."
97,notification,low,click,True,"New thread in ""Book Club"" matches alert",{event} starts {time}. Prepare: forum.com/thread/123.
98,maintenance,medium,click,True,"Scheduled maintenance: Oct 5, 2-4AM PST",New features: Security updates. Install now: company.com/updates Changelog included.
99,notification,medium,click,True,Your anniversary discount is here!,"As our loyal customer, get exclusive $80 off $100+: example.com/2684 Offer code: BIRTHDAY."
100,verification,low,none,False,Account Recovery: 778899,Recovery code 778899. Store in secure location.
